Date,Active Account,New Account
2022-04-01,0,0
2022-04-02,0,0
2022-04-03,0,0
2022-04-04,0,0
2022-04-05,0,0
2022-04-06,0,0
2022-04-07,0,0
2022-04-08,0,0
2022-04-09,0,0
2022-04-10,0,0
2022-04-11,0,0
2022-04-12,0,0
2022-04-13,0,0
2022-04-14,0,0
2022-04-15,0,0
2022-04-16,0,0
2022-04-17,0,0
2022-04-18,0,0
2022-04-19,0,0
2022-04-20,0,0
2022-04-21,0,0
2022-04-22,0,0
2022-04-23,0,0
2022-04-24,0,0
2022-04-25,0,0
2022-04-26,0,0
2022-04-27,0,0
2022-04-28,0,0
2022-04-29,0,0
2022-04-30,0,0
2022-05-01,0,0
2022-05-02,0,0
2022-05-03,0,0
2022-05-04,0,0
2022-05-05,0,0
2022-05-06,0,0
2022-05-07,0,0
2022-05-08,0,0
2022-05-09,0,0
2022-05-10,0,0
2022-05-11,0,0
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,0,0
2022-05-15,0,0
2022-05-16,0,0
2022-05-17,0,0
2022-05-18,0,0
2022-05-19,0,0
2022-05-20,0,0
2022-05-21,0,0
2022-05-22,0,0
2022-05-23,0,0
2022-05-24,0,0
2022-05-25,0,0
2022-05-26,0,0
2022-05-27,0,0
2022-05-28,0,0
2022-05-29,0,0
2022-05-30,0,0
2022-05-31,0,0
2022-06-01,1,0
2022-06-02,0,0
2022-06-03,2460,2462
2022-06-04,2,0
2022-06-05,2,0
2022-06-06,12,0
2022-06-07,9,0
2022-06-08,9,0
2022-06-09,7,0
2022-06-10,6,0
2022-06-11,1,0
2022-06-12,5,0
2022-06-13,0,0
2022-06-14,10,0
2022-06-15,3,0
2022-06-16,5,0
2022-06-17,4,0
2022-06-18,0,0
2022-06-19,4,0
2022-06-20,5,0
2022-06-21,9,0
2022-06-22,5,0
2022-06-23,6,0
2022-06-24,7,0
2022-06-25,4,0
2022-06-26,1,0
2022-06-27,2,0
2022-06-28,4,0
2022-06-29,6,0
2022-06-30,1,0
2022-07-01,2,0
2022-07-02,4,3
2022-07-03,2,0
2022-07-04,4,3
2022-07-05,24,7
2022-07-06,33,5
2022-07-07,5,1
2022-07-08,8,1
2022-07-09,20,4
2022-07-10,4,0
2022-07-11,8,1
2022-07-12,7,2
2022-07-13,5,1
2022-07-14,4,0
2022-07-15,8,2
2022-07-16,3,0
2022-07-17,3,0
2022-07-18,13,2
2022-07-19,4,0
2022-07-20,7,2
2022-07-21,2,0
2022-07-22,8,2
2022-07-23,5,0
2022-07-24,6,2
2022-07-25,4,0
2022-07-26,6,0
2022-07-27,7,2
2022-07-28,2,0
2022-07-29,3,0
2022-07-30,3,0
2022-07-31,3,1
2022-08-01,7,2
2022-08-02,1,0
2022-08-03,7,3
2022-08-04,10,1
2022-08-05,0,0
2022-08-06,1,0
2022-08-07,7,1
2022-08-08,4,0
2022-08-09,2,0
2022-08-10,2,0
2022-08-11,12,7
2022-08-12,5,1
2022-08-13,4,0
2022-08-14,3,1
2022-08-15,4,1
2022-08-16,4,2
2022-08-17,2,1
2022-08-18,7,1
2022-08-19,1,0
2022-08-20,10,4
2022-08-21,10,0
2022-08-22,9,5
2022-08-23,29,13
2022-08-24,1,1
2022-08-25,14,4
2022-08-26,9,2
2022-08-27,5,0
2022-08-28,2,0
2022-08-29,6,1
2022-08-30,5,2
2022-08-31,10,3
2022-09-01,9,4
2022-09-02,3,3
2022-09-03,11,4
2022-09-04,8,0
2022-09-05,5,1
2022-09-06,11,3
2022-09-07,7,1
2022-09-08,3,1
2022-09-09,6,2
2022-09-10,3,0
2022-09-11,3,1
2022-09-12,4,1
2022-09-13,18,2
2022-09-14,2,0
2022-09-15,6,2
2022-09-16,7,4
2022-09-17,5,3
2022-09-18,4,4
2022-09-19,7,5
2022-09-20,16,6
2022-09-21,9,3
2022-09-22,3,0
2022-09-23,9,4
2022-09-24,7,1
2022-09-25,12,5
2022-09-26,7,5
2022-09-27,11,3
2022-09-28,2,1
2022-09-29,4,2
2022-09-30,4,3
2022-10-01,3,0
2022-10-02,11,6
2022-10-03,6,1
2022-10-04,2,1
2022-10-05,6,4
2022-10-06,6,2
2022-10-07,4,3
2022-10-08,2,0
2022-10-09,2,1
2022-10-10,7,5
2022-10-11,3,5
2022-10-12,6,1
2022-10-13,0,2
2022-10-14,7,8
2022-10-15,33,53
2022-10-16,27,16
2022-10-17,37,10
2022-10-18,10,9
2022-10-19,6,7
2022-10-20,4,0
2022-10-21,7,5
2022-10-22,2,1
2022-10-23,4,4
2022-10-24,3,7
2022-10-25,4,1
2022-10-26,5,3
2022-10-27,4,3
2022-10-28,3,2
2022-10-29,6,3
2022-10-30,2,4
2022-10-31,6,4
2022-11-01,4,6
2022-11-02,5,7
2022-11-03,7,14
2022-11-04,17,15
2022-11-05,5,1
2022-11-06,3,8
2022-11-07,9,8
2022-11-08,6,3
2022-11-09,4,4
2022-11-10,3,3
2022-11-11,4,8
2022-11-12,5,3
2022-11-13,5,12
2022-11-14,5,5
2022-11-15,8,10
2022-11-16,3,4
2022-11-17,5,1
2022-11-18,1,2
2022-11-19,1,3
2022-11-20,1,1
2022-11-21,3,2
2022-11-22,1,4
2022-11-23,12,0
2022-11-24,18,2
2022-11-25,16,1
2022-11-26,10,2
2022-11-27,16,1
2022-11-28,12,2
2022-11-29,20,5
2022-11-30,17,2
2022-12-01,4,0
2022-12-02,10,3
2022-12-03,13,0
2022-12-04,18,1
2022-12-05,17,1
2022-12-06,6,0
2022-12-07,13,2
2022-12-08,14,0
2022-12-09,8,2
2022-12-10,11,3
2022-12-11,8,0
2022-12-12,14,4
2022-12-13,14,3
2022-12-14,8,2
2022-12-15,14,2
2022-12-16,9,1
2022-12-17,8,0
2022-12-18,4,1
2022-12-19,17,2
2022-12-20,13,1
2022-12-21,7,0
2022-12-22,14,1
2022-12-23,20,1
2022-12-24,20,7
2022-12-25,26,5
2022-12-26,15,4
2022-12-27,19,2
2022-12-28,14,1
2022-12-29,7,2
2022-12-30,15,2
2022-12-31,9,1
2023-01-01,14,1
2023-01-02,16,2
2023-01-03,15,2
2023-01-04,10,0
2023-01-05,9,2
2023-01-06,8,1
2023-01-07,18,5
2023-01-08,8,1
2023-01-09,11,0
2023-01-10,10,2
2023-01-11,7,0
2023-01-12,11,2
2023-01-13,12,0
2023-01-14,20,0
2023-01-15,9,1
2023-01-16,13,1
2023-01-17,19,3
2023-01-18,16,2
2023-01-19,26,3
2023-01-20,9,0
2023-01-21,17,0
2023-01-22,21,1
2023-01-23,16,2
2023-01-24,20,1
2023-01-25,14,1
2023-01-26,10,1
2023-01-27,17,1
2023-01-28,19,1
2023-01-29,16,3
2023-01-30,11,1
2023-01-31,17,2
2023-02-01,22,3
2023-02-02,12,2
2023-02-03,13,1
2023-02-04,25,1
2023-02-05,19,2
2023-02-06,16,2
2023-02-07,27,4
2023-02-08,21,4
2023-02-09,11,1
2023-02-10,15,3
2023-02-11,14,2
2023-02-12,15,3
2023-02-13,19,3
2023-02-14,18,2
2023-02-15,25,6
2023-02-16,22,7
2023-02-17,26,10
2023-02-18,23,6
2023-02-19,20,6
2023-02-20,37,5
2023-02-21,42,14
2023-02-22,29,5
2023-02-23,21,5
2023-02-24,18,2
2023-02-25,21,3
2023-02-26,17,1
2023-02-27,18,2
2023-02-28,27,5
2023-03-01,27,0
2023-03-02,19,2
2023-03-03,26,5
2023-03-04,25,5
2023-03-05,25,3
2023-03-06,19,2
2023-03-07,14,2
2023-03-08,31,2
2023-03-09,15,0
2023-03-10,20,1
2023-03-11,10,1
2023-03-12,12,0
2023-03-13,22,8
2023-03-14,24,7
2023-03-15,12,2
2023-03-16,20,3
2023-03-17,23,3
2023-03-18,19,1
2023-03-19,17,2
2023-03-20,20,5
2023-03-21,18,5
2023-03-22,20,2
2023-03-23,21,3
2023-03-24,19,3
2023-03-25,10,1
2023-03-26,16,2
